shimmerLocal_sma;logHNR_sma;pcm_RMSenergy_sma
6.713782e-002;1.332735e+001;4.904381e-003
6.782948e-002;1.608514e+001;4.900468e-003
5.645748e-002;1.811885e+001;4.788766e-003
3.769452e-002;1.873012e+001;4.682373e-003
4.273738e-002;1.849100e+001;4.776418e-003
4.262235e-002;1.610886e+001;4.986139e-003
4.148974e-002;1.653097e+001;5.306468e-003
3.823546e-002;1.622168e+001;5.529801e-003
2.200265e-002;1.560337e+001;5.640459e-003
3.892341e-002;1.823231e+001;5.593691e-003
3.196548e-002;2.016394e+001;5.469081e-003
4.738371e-002;2.281459e+001;5.156128e-003
2.645547e-002;2.079330e+001;4.761044e-003
5.556861e-002;1.812885e+001;4.327940e-003
1.081409e-001;1.397596e+001;4.046181e-003
2.044716e-001;1.006028e+001;3.498132e-003
2.321330e-001;6.913840e+000;3.031620e-003
2.257230e-001;3.862532e+000;2.334011e-003
2.979990e-001;3.909171e+000;2.178186e-003
3.654267e-001;2.665012e+000;2.087085e-003
4.328543e-001;2.182508e+000;2.248743e-003
3.894390e-001;3.007363e+000;1.965391e-003
3.582279e-001;1.650751e+000;2.093892e-003
3.153162e-001;2.877098e+000;2.282838e-003
2.140377e-001;2.423868e+000;2.473553e-003
1.698616e-001;4.221859e+000;2.163767e-003
2.310686e-001;-2.874791e-001;2.714799e-003
2.665400e-001;-2.705431e+000;3.521981e-003
2.761198e-001;2.350167e+000;4.294276e-003
1.400644e-001;1.072776e+001;4.094108e-003
7.889285e-002;1.555578e+001;3.847867e-003
2.966660e-002;1.453990e+001;3.673502e-003
2.678476e-002;1.420557e+001;3.545624e-003
5.526543e-002;1.364977e+001;3.538471e-003
7.465359e-002;1.176705e+001;3.516599e-003
8.722164e-002;1.257055e+001;3.522731e-003
7.359313e-002;1.500814e+001;3.429066e-003
6.443029e-002;1.809097e+001;3.383852e-003
7.373329e-002;1.825490e+001;3.331742e-003
7.493383e-002;1.680599e+001;3.368398e-003
7.427139e-002;1.497911e+001;3.417400e-003
4.972085e-002;1.363446e+001;3.435826e-003
3.405068e-002;1.403325e+001;3.453630e-003
4.243283e-002;1.332551e+001;3.443459e-003
9.751108e-002;1.242816e+001;3.481709e-003
1.056287e-001;1.335925e+001;3.444518e-003
7.932990e-002;1.633996e+001;3.452849e-003
1.862699e-002;2.026157e+001;3.468395e-003
3.931233e-002;2.040161e+001;3.559865e-003
6.490634e-002;1.883007e+001;3.524507e-003
8.660603e-002;1.637270e+001;3.357332e-003
7.715294e-002;1.431574e+001;2.919828e-003
1.011719e-001;1.267496e+001;2.473668e-003
8.669052e-002;1.099771e+001;2.166216e-003
1.053246e-001;8.495229e+000;2.130456e-003
9.635767e-002;9.612229e+000;2.023197e-003
1.564026e-001;1.015620e+001;1.720986e-003
1.275150e-001;9.883653e+000;1.208097e-003
1.994452e-001;4.632349e+000;1.014003e-003
1.550475e-001;6.627535e-001;1.171079e-003
2.036980e-001;2.066945e+000;1.519726e-003
1.424635e-001;6.899720e+000;1.651027e-003
1.874681e-001;5.815756e+000;1.540806e-003
3.014467e-001;3.561102e+000;3.877813e-003
3.573796e-001;-1.637934e+000;6.487939e-003
3.043573e-001;1.380417e+000;9.186495e-003
1.431733e-001;7.058903e+000;9.498301e-003
3.185470e-002;1.455504e+001;9.515554e-003
2.781758e-002;1.896820e+001;9.288017e-003
3.231029e-002;1.884942e+001;8.727030e-003
3.208417e-002;1.852833e+001;8.237734e-003
3.715699e-002;1.894788e+001;7.898184e-003
3.565634e-002;2.064500e+001;7.652506e-003
3.621540e-002;2.145896e+001;7.439091e-003
2.510258e-002;2.064161e+001;7.186858e-003
1.873221e-002;1.866505e+001;6.922756e-003
4.940553e-002;1.738268e+001;6.361924e-003
4.850952e-002;1.884488e+001;5.923398e-003
4.522948e-002;2.063971e+001;5.926654e-003
3.033525e-002;2.209492e+001;6.580058e-003
8.132476e-002;2.008512e+001;7.364074e-003
7.934064e-002;1.959805e+001;7.860299e-003
7.112185e-002;2.010253e+001;7.790853e-003
3.744215e-002;2.071465e+001;7.301602e-003
5.206811e-002;1.832625e+001;6.501557e-003
9.144217e-002;1.548491e+001;5.600542e-003
